iter	Passed	Remaining
758	4844	1538
759	4850	1531
760	4857	1525
761	4864	1519
762	4869	1512
763	4876	1506
764	4882	1499
765	4889	1493
766	4895	1487
767	4901	1480
768	4909	1474
769	4917	1468
770	4923	1462
771	4928	1455
772	4935	1449
773	4941	1442
774	4947	1436
775	4955	1430
776	4960	1423
777	4968	1417
778	4974	1411
779	4983	1405
780	4989	1399
781	4995	1392
782	5002	1386
783	5013	1381
784	5024	1376
785	5037	1371
786	5052	1367
787	5064	1362
788	5072	1356
789	5081	1350
790	5086	1344
791	5094	1337
792	5099	1331
793	5109	1325
794	5114	1318
795	5122	1312
796	5127	1306
797	5133	1299
798	5140	1293
799	5146	1286
800	5151	1279
801	5158	1273
802	5166	1267
803	5175	1261
804	5181	1255
805	5190	1249
806	5202	1244
807	5211	1238
808	5221	1232
809	5226	1226
810	5237	1220
811	5243	1213
812	5252	1208
813	5258	1201
814	5268	1195
815	5273	1189
816	5283	1183
817	5288	1176
818	5296	1170
819	5302	1163
820	5307	1157
821	5314	1150
822	5320	1144
823	5331	1138
824	5337	1132
825	5344	1125
826	5350	1119
827	5357	1112
828	5365	1106
829	5370	1100
830	5378	1093
831	5384	1087
832	5392	1081
833	5398	1074
834	5404	1067
835	5410	1061
836	5416	1054
837	5423	1048
838	5431	1042
839	5438	1035
840	5443	1029
841	5449	1022
842	5455	1016
843	5461	1009
844	5468	1003
845	5474	996
846	5479	989
847	5486	983
848	5491	976
849	5497	970
850	5504	963
851	5517	958
852	5525	952
853	5536	946
854	5548	941
855	5557	934
856	5564	928
857	5570	921
858	5579	915
859	5584	909
860	5593	903
861	5599	896
862	5608	890
863	5614	883
864	5620	877
865	5627	870
866	5632	864
867	5639	857
868	5644	850
869	5655	845
870	5665	839
871	5672	832
872	5677	825
873	5684	819
874	5690	812
875	5696	806
876	5703	799
877	5709	793
878	5714	786
879	5720	780
880	5726	773
881	5733	767
882	5740	760
883	5747	754
884	5753	747
885	5760	741
886	5767	734
887	5774	728
888	5780	721
889	5788	715
890	5794	708
891	5800	702
892	5806	695
893	5812	689
894	5818	682
895	5824	676
896	5830	669
897	5838	663
898	5842	656
899	5849	649
900	5856	643
901	5860	636
902	5866	630
903	5872	623
904	5877	616
905	5884	610
906	5889	603
907	5896	597
908	5902	590
909	5907	584
910	5914	577
911	5920	571
912	5926	564
913	5934	558
914	5939	551
915	5945	545
916	5951	538
917	5957	532
918	5963	525
919	5969	519
920	5974	512
921	5980	505
922	5985	499
923	5993	493
924	5999	486
925	6005	479
926	6011	473
927	6016	466
928	6023	460
929	6028	453
930	6033	447
931	6039	440
932	6045	434
933	6052	427
934	6057	421
935	6062	414
936	6070	408
937	6076	401
938	6083	395
939	6089	388
940	6095	382
941	6103	375
942	6109	369
943	6117	362
944	6123	356
945	6138	350
946	6150	344
947	6158	337
948	6166	331
949	6171	324
950	6179	318
951	6184	311
952	6193	305
953	6199	298
954	6209	292
955	6216	286
956	6223	279
957	6230	273
958	6237	266
959	6244	260
960	6251	253
961	6260	247
962	6265	240
963	6272	234
964	6277	227
965	6282	221
966	6288	214
967	6294	208
968	6300	201
969	6306	195
970	6315	188
971	6321	182
972	6328	175
973	6335	169
974	6341	162
975	6349	156
976	6358	149
977	6364	143
978	6369	136
979	6375	130
980	6382	123
981	6387	117
982	6394	110
983	6401	104
984	6409	97
985	6415	91
986	6420	84
987	6428	78
988	6436	71
989	6449	65
990	6462	58
991	6470	52
992	6476	45
993	6481	39
994	6489	32
995	6494	26
996	6501	19
997	6507	13
998	6512	6
999	6522	0
